rid,city,candidate,gender,party,votes,total,won,year,position
BARMM,BASILAN,"HATAMAN-SALLIMAN, HADJIMAN SABBIHI",1,PDPLBN,"121,457","205,760",1,2022,Governor
BARMM,BASILAN,"AKBAR, ALFIYA JAINUDDIN",0,LAKAS,83056,"205,760",0,2022,Governor
BARMM,BASILAN,"AMIRIL, WALID ABDURAHMAN",1,PDDS,630,"205,760",0,2022,Governor
BARMM,BASILAN,"GARINGAN, ISMAEL SERGIO",1,IND,617,"205,760",0,2022,Governor
BARMM,BASILAN,"ALANO, YUSOP TANDUH",1,PDPLBN,"146,013","185,947",1,2022,Vice-Governor
BARMM,BASILAN,"SALI, PAISAL AWAL",1,UBJP,"35,820","185,947",0,2022,Vice-Governor
BARMM,BASILAN,"JAMIRI, RAHMA HAN",1,IND,2069,"185,947",0,2022,Vice-Governor
BARMM,BASILAN,"ABDIL, MAJID ALAJA",1,IND,2045,"185,947",0,2022,Vice-Governor
BARMM,BASILAN,"SALAIN, NASSER ARAJA-A",1,PDPLBN,53035,"188,388",1,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"HATAMAN, AHMED IBN DJALIV TURABIN",1,BUP,50071,"188,388",1,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"MUARIP, MOUMAR LIPAI",1,PDPLBN,45833,"188,388",1,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"ISMAEL, AHMAD ALI SALAJIN",1,UBJP,39449,"188,388",1,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"ISMAEL, AINA BASIR",0,UBJP,"33,991","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"SANSON, ROSEBELL LAPING",0,PDPLBN,"32,951","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"TUBONGBANUA, MARIA JENNESA SANTOS",0,IND,"17,978","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"AKBAR, OMAR MUTAMAD",1,IND,"16,313","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"SAHI, DANNY OMAR",1,LP,"7,328","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"GARINGAN, ISMAEL SERGIO",1,IND,"1,936","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"TABEROA, ANWAR TAHIL",1,IND,818,"111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"SALLIMAN, JIMAEL SALAM DATUMANONG",1,PDPLBN,"57,289","365,781",1,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"HATAMAN, MARWAN KANNAMA",1,PDPLBN,"53,003","365,781",1,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"ARAMIL, ABDURASIL SARABI",1,PDPLBN,"50,693","365,781",1,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"ASARUL, NASSER AMIN",1,PDPLBN,"48,503","365,781",1,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"KALLAHAL, DURIE SAHASAL",0,LP,"47,568","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"SALI, MONAISA ULLOH",0,UBJP,"40,594","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"IDRIS, KASIM HASADIN",1,UBJP,"28,300","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"MAJIRUL, HAMDIE TAGUNI",1,UBJP,"22,389","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"ABDULLA, MOHAMMAD BIRAL",1,IND,"11,135","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"AKALUN, IBNOHAIR KILLOT",1,IND,"2,805","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"REYES, ALBERTO SIÑAGAN",1,IND,"2,138","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"JALIL, SHING AYDAL",0,IND,"1,364","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"ADIONG, MAMINTAL JR. ALONTO",1,LAKAS,"353,769","476,681",1,2022,Governor
BARMM,LANAO DEL SUR,"USMAN, GAPOR AMEROL",1,RP,"67,605","476,681",1,2022,Governor
BARMM,LANAO DEL SUR,"SARANGANI, AMERODDIN MATOA-SAUMAY",1,UMMAH,"42,958","476,681",1,2022,Governor
BARMM,LANAO DEL SUR,"GARINGAN, ISMAEL SERGIO",1,IND,"5,705","476,681",1,2022,Governor
BARMM,LANAO DEL SUR,"IBRAHIM, ALIM AMATE",1,IND,"2,200","476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"BANOCAG, CAMAR JR. SUMANGRAN-ALONTO",1,IND,"1,386","476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"LUCMAN, JAHLALODIN MACOD",1,WPP,"1,353","476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"MAONGCO, ANSARY PACALNA",0,PDR,659,"476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"DIDA-AGUN, HABER BEDAR",1,IND,639,"476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"MOLIA, HAMZA MIMBALA",1,PDDS,407,"476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"ADIONG, MOHAMMAD KHALID RAKI-IN",1,LAKAS,"356,886","457,167",1,2022,Vice-Governor
BARMM,LANAO DEL SUR,"MANALAO, BASHER DIMALAANG",1,RP,"57,229","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"AMATE, SAAD IBRAHIM",1,PDPLBN,"30,752","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"ABDUL, NADJER PACASUM",1,PRP,"6,002","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"ALAWI, ABULKHAIR SALIM",1,IND,"3,688","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"ALA, HOGECAR HOYOHOY",1,PDR,"1,378","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"MANTA, CACAYADUN LUCMAN",1,IND,"1,232","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"MUNDER, ALZAIF TOCALO",1,LAKAS,"144,964","993,460",1,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"SANI, SHIRALI SAMPACO",0,LAKAS,"130,214","993,460",1,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"GANDAMRA, ANSARI USMAN",0,PDPLBN,"128,884","993,460",1,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"GANDA, NASSER JR. DACULA",1,LAKAS,"113,840","993,460",1,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MANGOTARA, ZORAB MAROHOMBSAR",1,LAKAS,"109,200","993,460",1,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"DIPATUAN, NORONISA ABDULRASHID",1,UMMAH,"79,264","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"DIMAPINTO, ABDULNASSER MANGONDAYA",1,RP,"61,936","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"ABDULKAREEM, MUHAMMADNABIL MAGARANG",1,AKSYON,"57,221","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"BALENTI, MALO HADJI JAFAAR MASCARA",1,UMMAH,"36,118","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MACARAMPAT, ABDUL BASIT MATUAN",1,PRP,"13,521","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"HASSAN, PADEL MAUNTE",1,IND,"13,447","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"ABUNAMLA, LOMANGCO SALACAYAN",1,AKSYON,"13,221","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"SANGCAAN, RAKIM BOTAWAN",1,IND,"11,394","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MANGATA, ALICOZAMAN COLANGCAG",1,LAKAS,"8,893","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"ABUBACAR, ALMANI AMBOR",0,PDR,"8,889","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MALOWAY, AWIDARANAO GUILLIA",1,PROMDI,"6,815","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"SULTAN, SALIC DIBARATUN",1,UMMAH,"6,723","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"DISOCOR, ZAINODEN BASHER",1,WPP,"6,261","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MACAPUNDAG, H. ABDULHAMID SAMPIANO",1,IND,"5,341","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"ABOLAIS, NAFISAH IBRA",0,IND,"5,015","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"YAHYA, JAMAEL CAPAL",1,PDR,"4,384","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"PUNDOGAR, ABDULGAFUR BAYABAO",1,PRP,"4,193","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"PAGUL, BASHER MASID",1,IND,"3,849","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MOHAIMEN, HADJI ABDULLAH",1,PDR,"3,818","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"HADJI JALAL, SAIFOLLAH MALA",1,PPM,"3,590","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"SULTAN, ANSARY DIBARATUN",0,IND,"3,561","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MACABATO, NAGUIB AMEROL ALONTO",1,IND,"3,520","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"OLAMA, ZADAT BANOCAG",1,PRP,"2,784","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"CABILA, CAMARODEN ALAMADA",1,IND,"2,600","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"DECAMPONG, ABDUL JALAL INDAR",1,AKSYON,"90,282","870,718",1,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MACAPODI, TAHA-TANJIE PANDAPATAN",1,LAKAS,"72,896","870,718",1,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"ARIMAO, FAHAD MIMBANTAS",1,LAKAS,"65,852","870,718",1,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MAROHOMBSAR, IBRAHIM LIMPAO",1,PDPLBN,"63,090","870,718",1,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"PANOLONG, ALLAN GANI",1,LAKAS,"58,784","870,718",1,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"PAMALOY, MOHAMMAD HUSSEIN MAUTI",1,LAKAS,"57,563","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MANALOCON, SALAHODEN MAUNA",1,IND,"48,543","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"DIDATOON, ALIODEN SANTICAN",1,PDR,"48,082","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"TAMANO, SAHRON RADJAZAMAN",0,PDR,"46,088","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"BALINDONG, AMIR-ODEN SARIP",1,IND,"44,457","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"DATU-DACULA, OMAR IMAM",1,LAKAS,"41,255","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"TANOG, SHARIEFFALI ADIONG",0,IND,"32,081","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"BALT, ROMIE UMPARA",1,NP,"30,479","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"BALT, ROMIE UMPARA",1,PDPLBN,"19,866","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"PAGAYAWAN, MAMARINTA MAROHOM",0,UMMAH,"17,411","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"BINNORTOMINORAY, MORSALIM ALAP-POLAO",1,IND,"17,069","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"YAHYA, MOHAMMAD NOR BACOL",1,UMMAH,"16,849","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MAROHOM, MOHAIMEN MOKAY MINDALANO",1,IND,"16,652","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"AMPASO, MOHAMMAD SALIH",1,IND,"14,155","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"SARIP, JAMES DIANGKA",1,RP,"14,134","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"ALI, MOHAMMAD SALIC ABDULSALAM",1,RP,"12,032","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"BANTUAS, MOBAHAR JR. DIMAPORO",1,LP,"7,363","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MAGARANG, ULOMODEN MUSTAPHA",1,RP,"5,726","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"AMEROL, MOHAMMAD BENITO",1,PFP,"5,455","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"IBRAHIM, NORODING AMPASO",1,IND,"4,739","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"CADAL, FAHAD MACARAOB",1,IND,"4,627","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"DIPATUAN, JALANIE PUMBAYA",0,PROMDI,"2,893","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"RAWANDING, USMAN GAMOR",1,IND,"2,626","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"CADERAN, CALIMEN CALI",1,RP,"2,513","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"SARIP, NAIMAH AMANODDIN",0,PRP,"1,660","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"BULEG, SUHARTO DIAMPUAN",1,IND,"1,613","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"ESMAEL, ALLAN ALAMADA",1,PPM,"1,325","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"AROBENTO, AMINA LABAO",1,IND,"1,174","870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"SANGUAN, MOHAMAD LINIDING",1,IND,717,"870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"UNDAYA, DIAMON DAGOROAN",1,IND,667,"870,718",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"MANGUDADATU, MARIAM SANGKI",0,NP,"332,141","553,469",1,2022,Governor
BARMM,MAGUINDANAO,"MANGUDADATU, ESMAEL GAGUIL",1,UBJP,"215,613","553,469",0,2022,Governor
BARMM,MAGUINDANAO,"AMPATUAN, DATU PUTI MAMASAPANO",1,PROMDI,"1,793","553,469",0,2022,Governor
BARMM,MAGUINDANAO,"GARINGAN, ISMAEL SERGIO",1,IND,"1,778","553,469",0,2022,Governor
BARMM,MAGUINDANAO,"LUMBOS, DATU MALA RINGCA",1,IND,"1,763","553,469",0,2022,Governor
BARMM,MAGUINDANAO,"GANASI, DHATS BUDONG",1,AKSYON,381,"553,469",0,2022,Governor
BARMM,MAGUINDANAO,"SINSUAT, FATIMA AINEE LIMBONA",0,NP,"303,013","542,513",1,2022,Vice-Governor
BARMM,MAGUINDANAO,"SEMA, BAI SANDRA AMPATUAN",0,UBJP,"234,591","542,513",0,2022,Vice-Governor
BARMM,MAGUINDANAO,"UTTO, ALPATA MAMA",1,PROMDI,"2,679","542,513",0,2022,Vice-Governor
BARMM,MAGUINDANAO,"ABDULLAH, SURAIDA SULAIMAN",0,IND,"1,506","542,513",0,2022,Vice-Governor
BARMM,MAGUINDANAO,"HASIM, ABDULHADI KALIGA",1,IND,724,"542,513",0,2022,Vice-Governor
BARMM,MAGUINDANAO,"MASTURA, DATU SHARIFUDIN TUCAO PANGA",1,NP,"120,609","909,086",1,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"BIRUAR, MASHUR AMPATUAN",1,NP,"100,570","909,086",1,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"TOMAWIS, ALEXA ASHLEY PEMBAYABAYA",0,UBJP,"94,803","909,086",1,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"BAS, ABDULNASSER MALIGA",1,UBJP,"89,439","909,086",1,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"SINSUAT, DATU ROMMEL SEISMUNDO",1,NP,"89,364","909,086",1,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"DIOCOLANO, BAI LANNIE DURADO",0,NP,"87,927","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"SINSUAT, DATU BIMBO SR. QUESADA",1,UBJP,"80,120","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"SINSUAT, MARIA CECILIA CONSTANCIO",0,NP,"71,650","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"SINSUAT, DATU BOBSTEEL IBRAHIM",1,UBJP,"71,297","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"ESMAEL, MONTASIR PULA",1,UBJP,"66,387","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"DIMAAMPAO, OMAR IMAM",1,IND,"8,929","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"IBAY, SAMSODIN PENDAT",1,PROMDI,"5,798","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"MOHAMMAD, NASRUDIN ABAS",1,IND,"4,904","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"PIANG, HARRIS ABDUL",1,AKSYON,"4,847","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"AMPUAN, SAMMY ALAM",1,IND,"3,080","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"EDRES, OTING PAGAYAO",1,PROMDI,"2,989","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"GUIAPAL, MOHAMAD REX",1,IND,"2,929","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"KIRAM, HASSIM TALIB",1,IND,"1,800","909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"TARUSAN, AL-MALA BORERO",1,PROMDI,1644,"909,086",0,2022,"1st District, Provincial Council Member"
BARMM,MAGUINDANAO,"MIDTIMBANG, NATHANEIL SANGACALA",1,NP,"149,821","1,077,128",1,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"MIDTIMBANG, BOBBY BONDULA",1,NP,"133,339","1,077,128",1,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"MACAPENDEG, AHMIL HUSSEIN AMPATUAN",1,NP,"123,305","1,077,128",1,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"GARINGAN, ISMAEL SERGIO",1,NP,"114,555","1,077,128",1,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"BANGKULIT, ALONTO JR. MONTAWAL",1,NP,"107,138","1,077,128",1,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"MANGUDADATU, KING JHAZZER TIAMSON",1,UBJP,"92,532","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"MANGUDADATU, DJ PAROK DINGCONG",1,UBJP,"83,220","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"PIANG, GLEN YOUSEFF PAGLAS",1,UBJP,"66,353","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"MADIDIS, ABDULKARIM KAMED",1,UBJP,"54,076","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"SABPEL, ABDULLATIP PENDATUN",1,UBJP,"53,874","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"MAMASABULOD, ZAINODIN JR. MATALAM",1,PFP,"16,708","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"LUMENDA, DATU MOHAMAD MOFRAD ABDULLAH",1,IND,"11,322","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"OMAR, MOHAMAD DIGO JR. UTTO",1,PFP,"11,074","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"ABDULLAH, EBRAHIM MANGGAN",0,IND,"6,128","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"UTTO, ZACARIA MADAL",1,IND,"5,340","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"BAGANIAN, MOKALID SAMAMA",1,IND,"4,135","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"SAMAMA, TENG SIDDIK",1,IND,"3,684","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"KASAN, MONTASER ABDULBAYAN",1,IND,"3,503","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"MAMASAPANO, DADTUNGAN AMPATUAN",1,IND,"3,319","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"DELANGALEN, DATU LUMINOG KUSAIN",1,IND,"3,297","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"DATUKAKA, DATUMUSTHAPA ABDULRAHMAN",1,IND,"3,086","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"SALIK, NORUDIN ABDULLAH",1,IND,"2,984","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"MATANOG, SALAHUDIN AMBOLODTO",1,IND,"2,852","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"SANTUA, NASSER ALIM",1,IND,"2,776","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"KATAMBAK, ALVIN LIBAN",1,IND,"2,487","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"MAROHOMBSAR, ALMANSOUR PATUGUIAL",1,IND,"2,426","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"ANDEK, AHMAD USMAN",1,IND,"2,233","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"PANANGGULON, MOHIDDIN PENDALIDAY",1,IND,"2,029","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"IBRAHIM, HASNA PANANGGULON",0,IND,"1,802","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"SALASAL, NICO MANAMPEN",1,IND,"1,514","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"RAJAHMUDA, KAMAROZAMAN TANTONG",1,IND,"1,506","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"DATUSAKALUDAN, NADSMA LUMENDA",0,IND,"1,444","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"WAHAB, KOLING MAIDO",1,IND,"1,220","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"SATOL, JORHAN AKIL",1,IND,"1,094","1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,MAGUINDANAO,"HANAFI, NOR KUGA",1,IND,952,"1,077,128",0,2022,"2nd District, Provincial Council Member"
BARMM,SULU,"TAN, ABDUSAKUR MAHAIL",1,PDPLBN,"346,273","346,273",1,2022,Governor
BARMM,SULU,"TAN, ADBUSAKUR II ABUBAKAR",1,PDPLBN,"343,050","343,050",1,2022,Vice-Governor
BARMM,SULU,"SUHURI, AL-MINZHEN MAÑALAS",1,PDPLBN,"142,204","645,728",1,2022,"1st District, Provincial Council Member"
BARMM,SULU,"HAYUDINI, CRISANTA CANAPI",0,PDPLBN,"136,577","645,728",1,2022,"1st District, Provincial Council Member"
BARMM,SULU,"ISAHAC, CHARINA IZQUIERDO",0,PDPLBN,"114,115","645,728",1,2022,"1st District, Provincial Council Member"
BARMM,SULU,"BURAHAN, SULAIMAN MIRIN",1,PDPLBN,"108,509","645,728",1,2022,"1st District, Provincial Council Member"
BARMM,SULU,"KARANAIN, NURSHIDA LOONG",0,PDPLBN,"102,571","645,728",1,2022,"1st District, Provincial Council Member"
BARMM,SULU,"ABDUL, SASAHAN BAGINDA",1,PDDS,"12,900","645,728",0,2022,"1st District, Provincial Council Member"
BARMM,SULU,"HAIRON, FATMA MUSTALA",0,PDDS,"7,153","645,728",0,2022,"1st District, Provincial Council Member"
BARMM,SULU,"AHAJAN, SHARIF AHMED KHAN TALIB",1,IND,"6,000","645,728",0,2022,"1st District, Provincial Council Member"
BARMM,SULU,"ALIMUDDIN, IBNULWALID ABDURAJAN",1,IND,"4,864","645,728",0,2022,"1st District, Provincial Council Member"
BARMM,SULU,"SAJIRAN, ISMURAJAN INJAN",1,IND,"4,827","645,728",0,2022,"1st District, Provincial Council Member"
BARMM,SULU,"ANNUH, ADAM MUHTALIB",1,IND,"3,383","645,728",0,2022,"1st District, Provincial Council Member"
BARMM,SULU,"SALI, RUGAIYA MUDJAHIRIN",0,IND,"2,625","645,728",0,2022,"1st District, Provincial Council Member"
BARMM,SULU,"ALIH, NADIA ARBISON",0,PDPLBN,"130,038","652,964",1,2022,"2nd District, Provincial Council Member"
BARMM,SULU,"ADAM, RAIHANA ARBISON",0,PDPLBN,"125,642","652,964",1,2022,"2nd District, Provincial Council Member"
BARMM,SULU,"SAHIDULLA, NURWINA INDANAN",0,PDPLBN,"124,312","652,964",1,2022,"2nd District, Provincial Council Member"
BARMM,SULU,"BURAHAN, ABDURADZMEZER WADJAD",1,PDPLBN,"119,596","652,964",1,2022,"2nd District, Provincial Council Member"
BARMM,SULU,"SITIN, AKMADHAN SITIN",1,PDPLBN,"103,155","652,964",1,2022,"2nd District, Provincial Council Member"
BARMM,SULU,"TILLAH, NASSER SANGKULA",1,IND,"20,457","652,964",0,2022,"2nd District, Provincial Council Member"
BARMM,SULU,"ARADAIS, ARJIN SALI",1,IND,"12,129","652,964",0,2022,"2nd District, Provincial Council Member"
BARMM,SULU,"GACA, KADAPI KARIM",1,UBJP,"11,210","652,964",0,2022,"2nd District, Provincial Council Member"
BARMM,SULU,"SALIM, BASIL JUAINI",1,PDDS,"6,425","652,964",0,2022,"2nd District, Provincial Council Member"
